N,passt,voxel,plana,clust,cylin,total
84,0.084,0.189,0.037,0.021,0.041,0.547
85,0.085,0.193,0.037,0.014,0.048,0.565
86,0.084,0.191,0.037,0.008,0.063,0.558
87,0.084,0.191,0.043,0.005,0.044,0.555
88,0.082,0.183,0.047,0.198,0.169,0.853
89,0.081,0.184,0.047,0.176,0.194,0.872
90,0.072,0.185,0.048,0.175,0.093,0.744
91,0.102,0.185,0.047,0.161,0.066,0.754
92,0.072,0.185,0.047,0.143,0.084,0.702
93,0.082,0.183,0.047,0.151,0.180,0.830
94,0.073,0.184,0.047,0.143,0.125,0.743
95,0.084,0.183,0.042,0.140,0.063,0.700
96,0.075,0.188,0.042,0.127,0.075,0.681
97,0.082,0.183,0.042,0.105,0.064,0.664
98,0.072,0.187,0.048,0.095,0.073,0.646
99,0.082,0.186,0.042,0.087,0.058,0.643
100,0.095,0.198,0.044,0.085,0.046,0.641
101,0.083,0.190,0.043,0.072,0.077,0.654
102,0.072,0.186,0.042,0.055,0.057,0.585
103,0.082,0.186,0.037,0.044,0.064,0.601
104,0.094,0.191,0.037,0.039,0.064,0.600
105,0.084,0.189,0.037,0.032,0.039,0.570
106,0.084,0.190,0.038,0.024,0.063,0.574
107,0.086,0.192,0.038,0.030,0.052,0.587
108,0.084,0.191,0.037,0.023,0.038,0.549
109,0.086,0.192,0.037,0.018,0.044,0.566
110,0.084,0.191,0.037,0.013,0.048,0.549
111,0.084,0.191,0.037,0.006,0.035,0.540
112,0.084,0.192,0.032,0.003,0.036,0.521
113,0.089,0.204,0.038,0.000,0.000,0.529
114,0.081,0.181,0.047,0.242,0.078,0.803
115,0.082,0.186,0.048,0.226,0.064,0.793
116,0.073,0.185,0.048,0.233,0.140,0.849
117,0.082,0.183,0.047,0.174,0.075,0.749
118,0.073,0.187,0.048,0.155,0.060,0.695
119,0.082,0.185,0.048,0.137,0.153,0.793
120,0.073,0.186,0.043,0.122,0.065,0.659
121,0.082,0.191,0.043,0.104,0.067,0.674
122,0.072,0.186,0.043,0.102,0.073,0.647
123,0.081,0.187,0.042,0.087,0.057,0.642
124,0.074,0.193,0.044,0.070,0.048,0.601
125,0.082,0.195,0.043,0.056,0.044,0.608
126,0.072,0.193,0.043,0.053,0.043,0.574
127,0.084,0.190,0.037,0.031,0.067,0.598
128,0.084,0.190,0.037,0.025,0.046,0.557
129,0.085,0.191,0.037,0.019,0.047,0.567
